fNAME,lNAME,Age,gender,country,residence,entryEXAM,prevEducation,studyHOURS,Python,DB,avg_score
Christina,Binger,44,FEMALE,Norway,Private,72,Masters,158,59.0,55,57.0
Maria,Kedibone,23,FEMALE,South Africa,Sognsvann,65,High School,122,91.0,80,85.5
Hannah,Hansen,25,FEMALE,Norge,BI Residence,66,High School,130,88.0,59,73.5
Sofie,Jensen,33,FEMALE,Denmark,BI_Residence,85,Bachelors,160,83.0,90,86.5
Emma,de Vries,34,FEMALE,Netherlands,BI Residence,65,Bachelors,156,79.0,58,68.5
Solveig,Eliassen,36,FEMALE,Norway,Private,70,diploma,156,80.0,55,67.5
Grethe,Myklebust,40,FEMALE,Norway,Private,77,Diplomaaa,144,70.0,76,73.0
Ingrid,Eide,43,FEMALE,Norway,Private,81,Bachelors,156,80.0,82,81.0
Hanna,Andresen,45,FEMALE,Norway,Private,85,Bachelors,156,87.0,82,84.5
Jorunn,Eliassen,47,FEMALE,Norway,Private,86,Bachelors,156,80.0,78,79.0
Camilla,Mikkelsen,50,FEMALE,Norway,Private,95,Masters,160,84.0,90,87.0
Hanna,Isaksen,24,FEMALE,Norway,BI Residence,50,High School,114,30.0,50,40.0
Kristine,Berg,26,FEMALE,Norway,BI Residence,55,High School,140,61.0,56,58.5
Carmen,Rodríguez,28,FEMALE,Spain,BI Residence,78,Bachelors,156,80.0,55,67.5
Gerd,Bakken,35,FEMALE,Norway,BI Residence,92,Masters,160,87.0,88,87.5
Aisha,Nakaweesi,37,FEMALE,Uganda,Private,55,Diploma,142,66.0,58,62.0
Nansubuga,Nakalema,41,FEMALE,Uganda,Private,86,Bachelors,154,81.0,91,86.0
Perry,Rønning,71,FEMALE,Norway,Private,30,Doctorate,120,31.0,42,36.5
Line,Næss,25,FEMALE,Norway,BI Residence,98,High School,160,90.0,90,90.0
Simen,Myhre,33,FEMALE,Norway,BI Residence,50,Diploma,144,69.0,33,51.0
Trond,Karlsen,37,FEMALE,Norway,Private,45,Bachelors,142,57.0,50,53.5
Emily,Thompson,39,FEMALE,UK,Private,90,Masters,158,85.0,74,79.5
Unni,Jacobsen,41,FEMALE,Norway,Private,90,Masters,156,80.0,83,81.5
Grethe,Brekke,43,FEMALE,Norway,Private,96,Masters,158,87.0,92,89.5
Ruth,Pedersen,45,FEMALE,Norway,Private,95,Masters,160,88.0,86,87.0
Peninah,Andresen,22,FEMALE,Norway,BI Residence,78,High School,148,78.0,74,76.0
Berit,Eide,24,FEMALE,Norway,BI Residence,54,High School,136,57.0,50,53.5
Jenny,Kristoffersen,26,FEMALE,Norway,BI Residence,68,High School,124,48.0,62,55.0
Mwanaidi,Ali,32,FEMALE,Somali,BI Residence,82,Bachelors,156,84.0,59,71.5
Bjørn,Pedersen,21,FEMALE,Norway,BI Residence,70,High School,138,69.0,47,58.0
Irene,Strømertan,38,FEMALE,Norway,Private,80,Masters,158,84.0,50,67.0
Morten,Olsen,46,FEMALE,Norway,Private,94,Doctorate,160,90.0,77,83.5
Karoline,Ahmed,26,FEMALE,Norway,BI Residence,76,High School,156,84.0,61,72.5
Ola,Bakke,50,FEMALE,Norway,Private,81,Bachelors,158,87.0,46,66.5
Tore,Abrahamsen,22,FEMALE,Norway,BI Residence,73,High School,144,70.0,55,62.5
Caroline,Narocho,23,FEMALE,Norway,BI Residence,90,High School,160,87.0,73,80.0
Silvia,Berg,25,FEMALE,Norway,BI Residence,81,High School,158,85.0,46,65.5
Anna,Müller,31,FEMALE,Germany,Sognsvann,89,Masters,160,87.0,61,74.0
Marie,Dubois,35,FEMALE,France,Sognsvann,69,Bachelors,144,69.0,45,57.0
Emma,Janssen,39,FEMALE,Netherlands,Private,81,Masters,160,80.0,71,75.5
Clara,Bernard,43,FEMALE,France,Private,80,Bachelors,150,75.0,43,59.0
Sophie,Brown,33,FEMALE,UK,Sognsvann,96,Masters,158,85.0,90,87.5
